~000132~,~Mobile poll/Bureau itinérant~
~001145~,~Spectacle Lakes~
~001146~,~Bridgewater E~
~001147~,~Bridgewater S~
~001148~,~Bridgewater Central~
~001149~,~Bridgewater W/O~
~001150~,~Bridgewater N~
~001151~,~Dayspring W/O~
~001152~,~Dayspring E~
~001153~,~Conquerall Bank~
~001154~,~Pleasantville~
~001155~,~Pleasantville E~
~001156~,~LaHave~
~001157~,~LaHave S~
~001158~,~LaHave Island--West Dublin~
~001159~,~Petite Rivière~
~001160~,~Broad Cove--Cherry Hill~
~001161~,~Voglers Cove--Cherry Hill~
~001162~,~New Cumberland~
~001163~,~Crousetown~
~001164~,~Conquerall Mills~
~001165~,~Middlewood~
~001166~,~Camperdown~
~001167~,~Italy Cross~
~001168~,~Waterloo~
~001169~,~Newcombville~
~001170~,~Bakers Settlement~
~001171~,~Nineveh~
~001172~,~Auburndale~
~001173~,~Lower Branch~
~001174~,~Branch LaHave~
~001175~,~Hebbville N~
~001176~,~Hebbville S~
~001177~,~Wileville S~
~001178~,~Wileville N~
~001179~,~Hebbs Cross~
~001180~,~Chelsea~
~001181~,~Upper Northfield~
~001182~,~West Northfield S~
~001183~,~New Germany W/O~
~001184~,~New Germany Central~
~001185~,~New Germany N~
~001186~,~Barss Corner N~
~001187~,~Barss Corner S~
~001188~,~Hemford~
~001189~,~New Canada~
~001190~,~Maplewood~
~001191~,~Newburne~
~001192~,~Eastport Medway-Mill Village~
~001193~,~Port Medway~
~001194~,~Danesville~
~001195~,~Charleston~
~001196~,~Middlefield~
~001197~,~North Brookfield~
~001198~,~South Brookfield~
~001199~,~Westfield~
~001200~,~Caledonia N~
~001201~,~Caledonia S~
~001202~,~Kempt~
~001203~,~West Berlin~
~001204~,~Beach Meadows~
~001205~,~Brooklyn S~
~001206~,~Brooklyn Central~
~001207~,~Brooklyn W/O~
~001208~,~Milton E~
~001209~,~Milton Central~
~001210~,~Milton N~
~001211~,~Milton W/O~
~001212~,~Milton S~
~001213~,~Liverpool N~
~001214~,~Liverpool Central~
~001215~,~Liverpool E~
~001216~,~Liverpool W/O~
~001217~,~Mersey Point~
~001218~,~Mersey Point W/O~
~001219~,~Hunts Point~
~001220~,~Port Mouton~
~001221~,~Port Mouton SW/S-O~
~001222~,~Port Joli~
~001223~,~Sable River~
~001224~,~Allendale~
~001225~,~West Lockeport~
~001226~,~East Green Harbour~
~001227~,~Lockeport T/V~
~001228~,~West Green Harbour~
~001229~,~Jordan River E~
~001230~,~Jordan River W/O~
~001231~,~Lower Sandy Point~
~001232~,~Upper Sandy Point~
~001233~,~Roseway Manor/Manoir~
~001234~,~Shelburne E~
~001235~,~Shelburne T/V~
~001236~,~Shelburne Central~
~001237~,~Shelburne W/O~
~001238~,~Ohio~
~001239~,~Churchover~
~001240~,~Ingomar~
~001241~,~North East Harbour~
~001242~,~Clyde River~
~001243~,~Clyde River W/O~
~001244~,~Upper Port La Tour~
~001245~,~Port La Tour--Baccaro~
~001246~,~Barrington E~
~001247~,~Barrington W/O~
~001248~,~Barrington Passage E~
~001249~,~Barrington Passage W/O~
~001250~,~North East Point~
~001251~,~Centerville~
~001252~,~Newellton~
~001253~,~Clark's Harbour W/O Head~
~001254~,~Clark's Harbour Central~
~001255~,~Clark's Harbour S~
~001256~,~The Hawk~
~001257~,~Lower Clarks Harbour~
~001258~,~South Side~
~001259~,~Stoney Island~
~001260~,~Doctors Cove~
~001261~,~Bear Point~
~001262~,~Shag Harbour~
~001263~,~Lower Woods Harbour~
~001264~,~Woods Harbour~
~001265~,~Upper Woods Harbour~
~001266~,~Bridgewater~
~001267~,~Chester Basin~
~001268~,~Mahone Bay~
~001269~,~Lunenberg~
~001270~,~New Germany~
~001271~,~Liverpool~
~001272~,~Lockeport~
~001273~,~Shelburne~
~001274~,~Barrington Passage~
~001275~,~Margaretsville~
~001276~,~Port George~
~001277~,~Port Lorne~
~001278~,~Hampton~
~001279~,~Upper Granville~
~001280~,~Clarence W/O~
~001281~,~Bridgetown W/O~
~001282~,~Bridgetown E~
~001283~,~Paradise~
~001284~,~Lawrencetown W/O~
~001285~,~Lawrencetown E~
~001286~,~Middleton~
~001287~,~Wilmot W/O~
~001288~,~Wilmot E~
~001289~,~Melvern Square~
~001290~,~Melvern Square E~
~001291~,~Torbrook~
~001292~,~Springfield~
~001293~,~Nictaux~
~001294~,~Nictaux Falls~
~001295~,~Albany~
